#{"t_start": 1774254100.7553623, "env_id": "CartPole-v1"}
r,l,t
42.0,42,1.125913
14.0,14,1.126673
18.0,18,1.127697
13.0,13,1.128297
16.0,16,1.130335
11.0,11,1.409125
23.0,23,1.424619
13.0,13,1.432369
18.0,18,1.450612
28.0,28,1.476394
26.0,26,1.500699
16.0,16,1.515014
19.0,19,1.5318
23.0,23,1.545416
15.0,15,1.556487
13.0,13,1.564655
11.0,11,1.5745
9.0,9,1.579665
19.0,19,1.594563
16.0,16,1.605689
11.0,11,1.616282
16.0,16,1.62673
11.0,11,1.635622
13.0,13,1.643657
12.0,12,1.654066
14.0,14,1.663329
10.0,10,1.670786
19.0,19,1.685933
11.0,11,1.695096
13.0,13,1.706684
9.0,9,1.714148
14.0,14,1.72404
15.0,15,1.735966
9.0,9,1.74386
11.0,11,1.751976
10.0,10,1.761412
12.0,12,1.772171
10.0,10,1.77983
11.0,11,1.79351
11.0,11,1.801727
15.0,15,1.813406
12.0,12,1.824126
10.0,10,1.83347
10.0,10,1.840783
17.0,17,1.856852
10.0,10,1.863678
9.0,9,1.870936
8.0,8,1.877929
12.0,12,1.888736
14.0,14,1.900693
14.0,14,1.910424
13.0,13,1.924838
9.0,9,1.936435
13.0,13,1.948052
12.0,12,1.960517
10.0,10,1.974053
10.0,10,1.987083
10.0,10,2.000988
10.0,10,2.012876
9.0,9,2.022499
9.0,9,2.036203
13.0,13,2.047014
9.0,9,2.056125
11.0,11,2.069837
11.0,11,2.086557
10.0,10,2.097618
9.0,9,2.108178
9.0,9,2.122676
11.0,11,2.136403
10.0,10,2.151028
10.0,10,2.162751
8.0,8,2.172963
12.0,12,2.191401
9.0,9,2.204371
10.0,10,2.21329
10.0,10,2.224333
8.0,8,2.233425
9.0,9,2.24334
10.0,10,2.251852
11.0,11,2.263076
10.0,10,2.278008
9.0,9,2.290298
9.0,9,2.302024
10.0,10,2.316163
12.0,12,2.332752
10.0,10,2.344766
11.0,11,2.359157
9.0,9,2.368449
10.0,10,2.380657
9.0,9,2.387669
11.0,11,2.398842
9.0,9,2.407857
10.0,10,2.417656
10.0,10,2.427609
12.0,12,2.438017
9.0,9,2.445689
10.0,10,2.457729
9.0,9,2.465139
10.0,10,2.472792
14.0,14,2.486269
10.0,10,2.495585
10.0,10,2.506249
9.0,9,2.51359
10.0,10,2.523605
10.0,10,2.534282
8.0,8,2.541827
9.0,9,2.549874
9.0,9,2.559265
11.0,11,2.570011
10.0,10,2.580206
8.0,8,2.587692
10.0,10,2.596529
10.0,10,2.609101
9.0,9,2.617455
10.0,10,2.627383
8.0,8,2.634621
8.0,8,2.643725
10.0,10,2.651669
9.0,9,2.659534
10.0,10,2.671676
10.0,10,2.681334
11.0,11,2.692112
8.0,8,2.699546
9.0,9,2.707823
8.0,8,2.71641
8.0,8,2.724429
10.0,10,2.734485
11.0,11,2.74452
9.0,9,2.753991
9.0,9,2.761024
9.0,9,2.7695
9.0,9,2.779352
10.0,10,2.789418
10.0,10,2.800418
9.0,9,2.808247
10.0,10,2.81732
10.0,10,2.829148
9.0,9,2.836944
9.0,9,2.845321
11.0,11,2.856257
10.0,10,2.869052
9.0,9,2.877106
11.0,11,2.887275
10.0,10,2.895502
8.0,8,2.90451
9.0,9,2.912691
11.0,11,2.923065
9.0,9,2.930572
8.0,8,2.946524
10.0,10,2.962165
10.0,10,2.977287
11.0,11,2.997777
10.0,10,3.015727
11.0,11,3.033437
9.0,9,3.049373
8.0,8,3.061466
11.0,11,3.074902
9.0,9,3.08758
9.0,9,3.098453
10.0,10,3.111009
9.0,9,3.126674
11.0,11,3.139903
11.0,11,3.155659
9.0,9,3.166006
11.0,11,3.183205
9.0,9,3.193652
10.0,10,3.209419
10.0,10,3.220417
9.0,9,3.237368
12.0,12,3.251877
10.0,10,3.26196
11.0,11,3.273387
12.0,12,3.286471
9.0,9,3.294581
10.0,10,3.30478
11.0,11,3.31322
9.0,9,3.325097
11.0,11,3.333979
10.0,10,3.344293
10.0,10,3.351711
9.0,9,3.363329
10.0,10,3.371161
9.0,9,3.378867
9.0,9,3.388234
